,n,m,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
0,42,5,106.20082891254543,10.118184095611074,354.7010349591625,13.621753612952656,708.3595450616466,13.367768115689886,1144.1611800178086,12.91348432306165
1,37,6,103.95888878555601,8.955605248016656,267.00457779048725,12.102249298934405,503.7056539747896,12.307476439211472,827.5056404622878,11.89936436162502
2,30,7,58.354074232639135,7.492638597454023,164.1049422522843,13.4891453622757,293.6460425784485,14.041964895237847,483.93548957772987,14.79257423462085
3,33,6,77.0395014599961,11.519165947945126,197.85271372738686,9.574831020758188,402.13220339220203,11.27125392320143,640.6802614638221,14.559862454733546
4,43,8,106.05066874655309,13.691266621455304,289.9900314521666,8.428624317619768,584.0983710558384,12.126472414600476,913.9119717691347,10.454313991313754
5,45,8,138.67530968196334,11.334999801587145,340.84260841564924,11.065726388596847,651.2856693364218,12.501223393577447,1029.9649611873654,13.315744837463363
6,47,6,141.08057046200136,14.550966652165434,362.8334950718765,14.950879950932224,753.6839129409806,16.240317111857525,1205.0340765236192,20.680805843772735
7,31,5,79.32826736638229,10.811559183787391,220.8598313096548,10.948216804297303,398.8828549182217,20.641740440320024,654.6723280455809,13.084119006654081
8,30,6,70.42352122539984,10.725820763307553,160.97185334196945,13.751830935210837,333.44892149006665,16.155983460473603,529.4892965793607,12.994654355824252
9,33,8,56.54972122663528,11.317243699471048,152.11035023620695,11.745044866058652,281.0938356166143,11.962500524786046,457.7632894659738,11.95045990876313
10,43,5,125.12989118862305,14.287148417330005,360.55272011649987,11.003635786437732,727.751632617157,11.670423707209316,1211.4416157132762,12.2261767720641
11,50,8,115.6482871808666,26.63289799164274,356.86034612512697,10.532870657419222,705.023073517067,12.420326249252687,1151.911007619059,9.52749081317881
12,46,8,123.54394070824496,12.203851434255467,344.68810677332436,9.53142010494366,631.8117691744094,12.961123812816886,1034.8542189567027,12.331890572533394
13,32,8,57.52677056835043,14.705205381808806,135.49540030306306,7.465844949113898,256.29999649001024,9.759159940528919,428.9742414698288,10.752072465623236
14,34,5,94.43693032035084,7.328551415221195,250.8076249767459,13.134885687221445,495.89256582442187,12.395463773448428,795.4753762720486,13.618132567019993
15,34,5,70.99470291672654,9.702812179422224,229.05998499982772,8.696286561119571,489.4725424710928,9.106635640581652,797.9453486250842,9.863905190363374
16,33,8,55.46943187439078,6.722043395445547,151.8094650452386,16.758060531924723,302.9057160959391,10.327214846210078,494.17755090923447,9.673001746095595
17,36,5,101.71761141675594,10.150535257133308,288.4869389581512,10.534162449089074,560.7849253023481,16.506576241883447,906.3556660175364,13.564488934929532
18,33,7,73.05651917192914,5.977390537519717,174.6216404898357,11.556173312779217,338.77337797225454,11.394144324066465,566.4312390593823,13.265134207328044
19,35,7,69.37570480289503,8.187053187114202,197.28952142571276,11.192826597334546,386.4295031944905,14.349951105923735,626.2592058881839,13.993985801763497
20,40,8,97.28477564075638,8.02533132268152,248.01066483003683,10.016072460238007,454.83220704468323,9.133751487327933,731.4165171522966,12.513918319075588
21,47,6,143.9156167620178,8.534073006120517,385.0891781077219,10.585104870890147,780.9478856740235,10.624783734879143,1296.0782933545106,11.1596815222472
22,32,7,57.813779877576195,10.585516458611279,176.54149704793002,9.777343999141195,335.18226235895736,11.94905866443486,536.1934484741505,10.238413306031827
23,40,7,114.52327247742272,8.846498575774083,305.49630622673305,11.594995902561923,545.3688477860101,10.046315455346269,889.7351712060353,13.904018855611744
24,31,6,71.06982073274128,7.733416586856558,187.7623878183918,17.032378607936934,354.81583207691216,14.460327169919308,585.8867962250853,11.304648537487187
25,46,7,161.28179366712783,12.926722900604766,348.5689345045685,10.127187880622474,691.4861221883634,10.265230937297348,1105.714936798878,13.260502260238308
26,44,6,122.95882453164788,9.602175084052046,338.72682468387535,7.3167604643377135,659.630755327409,11.801057484788963,1089.4468541094166,12.160169691288973
27,30,5,76.9046315429025,5.3917285731951115,203.4147402942164,9.858707374479689,413.82186703795605,13.511436473845228,649.5236267621798,11.915691215627609
28,39,6,79.07842517057979,12.174494349154065,287.5088796822589,11.621180004160511,561.9552504924408,13.879767959426344,910.6232201084053,15.001158523412151
29,38,8,81.45471178355785,8.470164931489874,222.47241425565153,13.132512256655922,399.73575529136673,8.928871911825267,667.795413011781,14.307290892954942
